YEAR,MONTH,LAT,LONG,CO2,CH4,CO,H2,WET,CLD,VAP,PRE,FRS,DTR,TMN,TMP,TMX,GLO,ETR,ETRN
1993,8,30.475,-114.75,353.3279297,1769.907877,100.4636367,521.0461032,291,421,161,40,0,173,161,247,334,6354.867961,10500.66771,17550.08387
1993,9,30.475,-114.75,353.7082652,1764.05421,98.74919898,514.7335552,136,340,157,55,19,194,142,239,336,5500.177582,9261.935813,16609.80635
1993,10,30.475,-114.75,356.0141805,1776.479058,90.29988324,487.5554446,132,431,136,32,0,189,116,211,306,4380.938235,7675.150921,15639.89598
1993,11,30.475,-114.75,357.0488892,1796.431917,109.1324724,497.4149169,389,425,102,286,476,181,66,157,248,3246.459334,6202.031562,14779.23951
1993,12,30.475,-114.75,359.1162744,1813.557609,135.0176667,503.2907166,205,396,93,64,524,190,44,139,234,3091.240163,5479.511768,14360.17031
1994,1,30.475,-114.75,360.4387509,1807.70375,145.3656488,513.2347569,186,321,97,72,419,193,44,141,238,3305.567225,5912.093294,14686.14597
1994,2,30.475,-114.75,360.435554,1779.188766,125.8799221,520.4224385,444,443,86,215,732,171,39,124,210,3990.639446,7231.018604,15527.29185
1994,3,30.475,-114.75,362.4998332,1802.170173,154.4413445,526.5477976,321,445,95,63,118,179,71,160,250,4859.953919,8859.217786,16521.15287
1994,4,30.475,-114.75,361.9642351,1789.005998,137.1168394,521.3681753,30,383,92,3,59,185,68,160,253,6058.72046,10279.34294,17485.01224
1994,5,30.475,-114.75,361.7610865,1794.942981,136.1528671,530.8485602,100,418,102,32,63,175,90,177,265,5746.25675,11144.35209,18243.91021
1994,6,30.475,-114.75,359.8392102,1768.076319,103.4147017,519.160524,0,422,129,0,0,186,140,233,326,7174.971262,11446.69905,18585.74767
1994,7,30.475,-114.75,358.2978916,1782.178991,98.70205251,522.5126053,60,415,163,6,0,188,158,252,346,6396.391557,11239.65497,18312.46879
1994,8,30.475,-114.75,356.9775894,1754.512137,141.9417038,540.9018451,311,410,186,47,0,161,184,264,345,6168.698398,10509.12892,17558.07842
1994,9,30.475,-114.75,355.9202168,1767.575094,116.2010778,512.9117044,344,377,169,442,0,177,165,253,342,5612.189515,9274.284776,16620.64603
1994,10,30.475,-114.75,358.1247668,1813.190388,133.8469243,499.9786929,130,360,124,30,110,194,102,199,296,4311.699004,7689.77899,15648.72233
1994,11,30.475,-114.75,359.6281124,1794.02333,128.9258903,502.2727666,244,446,91,38,791,171,43,128,214,3482.333475,6212.426379,14786.927
1994,12,30.475,-114.75,362.3571619,1811.70203,145.5753342,506.8041185,653,489,92,298,510,161,51,131,212,2894.766744,5481.328666,14362.16219
1995,1,30.475,-114.75,363.6363556,1812.791099,132.1631562,500.6240006,606,544,91,382,288,141,64,135,205,3092.586429,5904.647455,14678.52958
1995,2,30.475,-114.75,362.244554,1801.048161,136.2434045,520.0758103,368,421,105,104,0,166,79,162,245,3780.332987,7217.264137,15520.62461
1995,3,30.475,-114.75,363.1452004,1815.73242,162.4990009,522.9500365,276,425,96,36,0,163,75,157,239,4791.668124,8844.566214,16512.226
1995,4,30.475,-114.75,363.8432737,1804.977282,146.6224253,522.5186626,220,359,92,22,268,174,65,152,239,6610.00124,10267.58205,17476.89701
1995,5,30.475,-114.75,363.9606508,1806.880139,132.5370453,533.1135658,30,395,93,3,215,158,83,162,241,6111.753787,11138.29767,18241.35483
1995,6,30.475,-114.75,361.8796403,1772.044887,93.09732693,536.2000645,0,343,119,0,59,194,116,213,310,6917.797453,11445.58839,18583.0755
1995,7,30.475,-114.75,359.9149515,1780.842836,99.48805871,533.5129367,90,398,154,9,0,191,159,255,351,6998.517312,11243.1955,18314.7468
1995,8,30.475,-114.75,356.7665117,1789.013747,87.57309591,527.3366163,190,387,182,19,0,184,183,275,367,6452.699462,10517.91379,17563.63126
1995,9,30.475,-114.75,356.3409223,1781.71047,80.95504829,523.2969276,128,489,190,45,0,178,164,253,342,5647.169122,9287.498833,16629.6221
1995,10,30.475,-114.75,359.1182628,1798.63543,96.87581214,506.448924,130,314,127,21,18,206,112,215,318,4760.276713,7703.210913,15658.35567
1995,11,30.475,-114.75,362.1252291,1801.543016,116.2056479,498.6747911,112,384,112,32,16,186,94,187,280,3358.022082,6222.755362,14792.93565
1995,12,30.475,-114.75,361.6187829,1803.708532,106.0164137,506.8231585,106,383,101,87,469,179,73,162,252,2927.826107,5483.274064,14361.60253
1996,1,30.475,-114.75,364.1084055,1813.130829,136.7947585,519.6256606,110,413,88,11,346,178,64,153,242,3739.437329,5896.778635,14672.94875
1996,2,30.475,-114.75,366.8792629,1811.318556,150.0721097,523.0639723,132,338,95,38,64,152,73,149,225,3570.303952,7232.057755,15530.07893
1996,3,30.475,-114.75,365.1636839,1813.794682,148.1919679,527.3476566,160,413,93,16,320,170,75,160,245,5207.454519,8884.281501,16534.06571
1996,4,30.475,-114.75,363.6837895,1774.264694,103.6174152,529.417023,20,350,105,2,0,182,80,171,262,6851.836993,10295.35676,17492.84682
1996,5,30.475,-114.75,366.2324095,1792.754421,127.0775966,539.820231,50,350,109,5,0,186,110,203,296,7342.813131,11151.19976,18254.70936
1996,6,30.475,-114.75,363.2720049,1774.029144,112.929404,551.3106721,0,338,122,0,1,198,130,229,328,7303.148306,11446.48116,18580.41585
1996,7,30.475,-114.75,361.9790464,1774.326411,94.62761171,544.5052965,700,425,167,70,0,162,178,259,340,6910.799528,11232.13409,18297.42986
1996,8,30.475,-114.75,359.1503432,1774.729172,100.4740377,538.9656084,210,412,171,21,0,159,178,257,337,6398.354417,10494.18676,17542.16647
1996,9,30.475,-114.75,357.9327663,1805.975245,112.1450499,514.3986164,191,358,162,46,5,164,148,230,312,5436.469056,9252.697948,16607.48055
1996,10,30.475,-114.75,359.9502245,1816.413925,111.2126301,497.3084797,130,317,124,39,49,187,115,208,302,4610.48412,7664.326875,15642.32682
1996,11,30.475,-114.75,363.1029522,1804.433067,106.9466415,495.684004,144,322,107,41,100,171,79,164,250,3474.70526,6193.547446,14777.02332
1996,12,30.475,-114.75,363.7799539,1816.188634,123.0618966,504.2736026,212,400,99,107,80,163,60,142,224,2969.038725,5478.384186,14357.03705
1997,1,30.475,-114.75,364.888092,1816.050437,130.5012005,519.5648579,425,413,101,125,92,131,71,136,202,2875.249176,5922.258221,14690.65911
1997,2,30.475,-114.75,366.394219,1807.767776,134.3727076,518.8825579,105,314,86,46,683,166,49,132,215,3941.154575,7246.283256,15540.57052
1997,3,30.475,-114.75,366.7230901,1820.014832,149.3322617,528.6052959,120,365,86,12,301,198,76,175,274,5091.675055,8874.558221,16533.21052
1997,4,30.475,-114.75,368.6289548,1808.131238,134.766369,535.3815252,90,360,92,9,148,171,76,161,247,5950.105029,10290.70688,17494.82652
1997,5,30.475,-114.75,366.7420492,1804.629843,130.9942209,533.5095137,30,350,132,3,0,179,137,226,316,6126.267327,11150.90259,18254.21957
1997,6,30.475,-114.75,365.6591076,1797.685476,110.7356548,532.6437074,0,338,124,0,0,178,132,221,310,6832.553293,11447.77388,18584.79286
1997,7,30.475,-114.75,361.5959804,1785.218376,78.89851249,524.1838126,110,425,155,11,0,194,152,249,346,6569.012774,11234.69387,18306.46436
1997,8,30.475,-114.75,358.9182235,1772.183562,80.00341722,513.6499775,130,415,181,13,0,173,182,268,355,6160.45624,10499.62564,17547.37121
1997,9,30.475,-114.75,359.2444705,1794.980358,98.09108905,501.9536664,258,360,189,31,0,159,183,263,343,5523.510294,9259.684626,16607.17929
1997,10,30.475,-114.75,362.1621373,1797.118285,108.3871872,507.1413905,130,323,128,30,23,187,110,204,298,4449.598047,7672.773491,15639.60147
1997,11,30.475,-114.75,363.7658499,1809.538773,123.9923472,491.401216,158,350,112,17,0,187,73,166,260,3279.007482,6201.171363,14779.79774
1997,12,30.475,-114.75,366.1487517,1822.473988,141.872947,496.5786654,654,400,89,486,736,160,47,127,207,2970.690112,5479.66558,14359.77552
1998,1,30.475,-114.75,366.7756372,1810.62264,167.0001288,514.6597259,383,413,95,65,379,155,64,141,219,3885.832253,5912.98157,14686.05973
1998,2,30.475,-114.75,367.6810653,1816.594485,151.3323911,516.6091481,685,304,88,528,520,144,52,124,196,4034.079288,7232.824469,15527.97128
1998,3,30.475,-114.75,369.0169765,1819.458028,160.8485513,525.2680875,519,413,89,186,307,164,70,152,234,4973.93339,8861.041589,16522.39409
1998,4,30.475,-114.75,369.4581124,1830.483848,171.3683352,526.735991,50,363,88,5,565,177,55,144,233,7658.441595,10280.38052,17486.75419
1998,5,30.475,-114.75,369.7229736,1818.264596,150.4660779,546.9306223,90,316,101,9,28,156,93,171,249,7154.490764,11144.75781,18245.70974
1998,6,30.475,-114.75,365.3900157,1816.742359,128.4250374,541.3237688,0,338,123,0,0,173,124,211,298,7566.446472,11446.57455,18585.02614
1998,7,30.475,-114.75,366.0654683,1799.154258,110.0587937,549.5988636,160,425,175,16,0,178,167,256,345,6319.714705,11238.08366,18311.76734
1998,8,30.475,-114.75,362.6699801,1800.858318,114.6689236,544.8640209,450,400,193,58,0,172,179,265,351,6379.275987,10508.46126,17556.50368
1998,9,30.475,-114.75,363.530553,1795.907061,94.16531694,534.535443,229,356,164,71,0,177,143,231,320,5447.772845,9272.727922,16619.26759
1998,10,30.475,-114.75,365.575272,1837.08706,157.2894246,525.1196884,130,321,122,16,183,206,91,194,297,5173.393673,7687.798649,15647.64156
1998,11,30.475,-114.75,367.7377552,1833.354023,145.5064116,528.1143138,194,350,102,27,307,184,62,154,246,3894.520269,6210.708522,14785.97293
1998,12,30.475,-114.75,368.9922742,1836.24781,150.2581939,520.3987568,256,340,89,99,887,184,34,126,218,3550.11855,5481.286493,14361.78182
1999,1,30.475,-114.75,370.4211702,1829.211372,143.4355911,528.7690692,233,413,92,25,562,176,54,142,230,4037.946242,5905.459051,14678.45857
1999,2,30.475,-114.75,371.2442401,1832.35671,154.3421918,532.8994543,198,400,84,31,772,185,40,132,225,4906.4067,7219.273435,15522.00737
1999,3,30.475,-114.75,372.8389311,1837.037144,172.528761,538.5504187,110,366,83,17,727,188,48,142,236,5556.512262,8846.638271,16513.28439
1999,4,30.475,-114.75,372.5015014,1829.667286,153.4503885,542.3760305,30,350,81,3,614,182,44,135,226,6796.943092,10269.6835,17479.037
1999,5,30.475,-114.75,372.3492393,1835.149231,149.9991718,535.9466457,30,312,92,3,355,185,81,174,267,6893.389894,11139.27351,18241.76401
1999,6,30.475,-114.75,372.5318646,1802.908149,102.7678698,539.9386759,0,338,119,0,31,187,110,204,298,7008.573938,11445.70739,18583.72173
1999,7,30.475,-114.75,366.831733,1780.81308,86.27528362,534.7987544,320,425,159,32,0,181,157,247,338,6213.327358,11242.52079,18311.27965
1999,8,30.475,-114.75,365.1257034,1783.358971,81.58026549,536.0397405,150,400,163,15,0,200,145,245,345,6095.163947,10517.05976,17562.01777
1999,9,30.475,-114.75,363.2302846,1815.894153,109.1841625,506.6462765,263,357,154,154,31,191,136,231,327,5803.929495,9286.15218,16629.72964
1999,10,30.475,-114.75,366.052414,1808.46916,102.1424069,507.6901101,130,329,120,30,54,212,113,219,325,5595.040567,7701.649372,15656.61499
1999,11,30.475,-114.75,370.2843841,1832.498463,103.8721571,506.3941395,112,327,110,23,119,196,66,164,262,4316.277179,6222.048467,14792.34654
1999,12,30.475,-114.75,370.7900943,1829.918142,121.9259538,509.8579959,125,400,86,45,948,184,44,136,228,3834.392941,5483.268465,14361.83909
2000,1,30.475,-114.75,373.2036395,1820.625695,105.0910452,524.718263,109,413,90,38,553,160,58,138,218,4129.552135,5897.943808,14673.46101
2000,2,30.475,-114.75,373.764663,1833.035778,135.0185139,527.4257737,168,400,91,47,408,160,59,139,219,4306.06896,7232.475254,15531.49368
2000,3,30.475,-114.75,372.5266444,1828.717217,133.572276,524.0741856,264,368,88,40,462,178,61,150,239,6142.936311,8885.593479,16535.6752
2000,4,30.475,-114.75,372.9333167,1824.139083,137.0570102,531.2034282,0,350,95,0,96,200,73,173,273,6786.31856,10297.22338,17492.81761
2000,5,30.475,-114.75,373.2457474,1823.26282,126.720634,534.5786403,30,350,107,3,0,187,100,193,287,7555.437504,11152.22341,18254.44673
2000,6,30.475,-114.75,371.0736515,1797.268199,92.29489663,531.1348546,30,338,126,3,0,176,149,237,325,6706.888163,11446.47914,18585.17622
2000,7,30.475,-114.75,368.6753893,1793.168065,83.41760084,536.694649,90,425,159,9,0,190,158,253,348,6979.825337,11231.92779,18296.98736
2000,8,30.475,-114.75,367.6255232,1794.804099,80.99078094,524.7941929,140,402,175,14,0,182,174,265,356,6069.953713,10493.09831,17541.42522
2000,9,30.475,-114.75,368.9614828,1799.700609,89.44638768,511.3078838,116,367,161,45,0,191,144,240,336,5945.62172,9250.590485,16606.5924
2000,10,30.475,-114.75,369.8864344,1813.314775,93.62849217,500.4764555,210,325,127,21,12,172,99,185,271,3929.726383,7662.329472,15638.67813
2000,11,30.475,-114.75,370.0841991,1824.200797,104.5940323,496.7881006,237,350,92,33,749,180,44,134,224,3858.007283,6192.666368,14776.10457
2000,12,30.475,-114.75,373.7512569,1834.034535,118.5079739,499.2449666,106,347,91,45,546,184,48,140,232,3613.167071,5478.135474,14357.10834
2001,1,30.475,-114.75,375.8249164,1833.522268,123.8344886,510.2574316,526,413,94,186,358,155,64,141,219,3285.747395,5923.31631,14692.56295
2001,2,30.475,-114.75,374.2271421,1821.745041,126.0271308,515.2444703,400,330,81,196,1112,177,28,117,205,3898.397368,7248.373816,15544.24203
2001,3,30.475,-114.75,375.2282672,1829.520033,136.1703904,525.7675933,290,413,89,58,431,168,58,142,226,5132.71654,8876.64062,16534.5625
2001,4,30.475,-114.75,374.9287861,1830.460554,140.4008284,519.5440984,100,350,83,10,552,184,45,137,229,6153.787984,10292.03713,17496.26761
2001,5,30.475,-114.75,374.2764836,1808.057698,110.276103,531.62239,60,350,102,6,0,177,96,185,274,6421.655429,11151.62794,18255.15973
2001,6,30.475,-114.75,372.017496,1792.2948,104.0742125,531.1158781,0,338,120,0,0,188,130,224,318,7631.737049,11447.7452,18586.93416
2001,7,30.475,-114.75,371.0200709,1786.286187,84.06293762,530.4958783,130,425,164,13,0,167,163,246,330,6277.006703,11233.75222,18304.65676
2001,8,30.475,-114.75,372.9573953,1790.753341,85.89511386,525.8667729,1119,381,166,297,0,167,163,246,330,6900.120454,10497.91486,17545.57789
2001,9,30.475,-114.75,371.9254616,1801.133642,90.36660487,516.2993682,166,358,159,50,22,190,134,229,324,6084.718391,9258.694713,16606.18297
2001,10,30.475,-114.75,369.766111,1816.582818,99.62443826,507.2187082,130,325,128,35,31,190,100,195,290,5007.691656,7672.125818,15638.19167
2001,11,30.475,-114.75,372.3400578,1828.880139,119.4074027,500.5460078,200,350,113,70,0,148,86,160,234,3361.166229,6199.11274,14779.57506
2001,12,30.475,-114.75,374.6929287,1835.160562,123.3511254,459.7338864,254,333,86,105,996,181,31,121,212,3502.408736,5479.708291,14359.73531
2002,1,30.475,-114.75,376.4549844,1820.893982,116.9899034,468.3547768,204,413,95,46,426,139,49,119,189,3756.222688,5914.242736,14687.59022
2002,2,30.475,-114.75,375.1206504,1828.201461,135.773742,514.9249959,207,328,90,55,626,169,46,131,215,4728.62771,7235.048037,15529.32077
2002,3,30.475,-114.75,376.3069769,1831.790106,138.1677066,519.2832395,179,376,90,37,395,165,57,139,222,6073.681629,8861.89009,16523.70496
2002,4,30.475,-114.75,376.5706819,1834.700282,141.7651193,520.8623256,70,386,96,7,0,156,67,145,223,6354.017672,10281.14827,17487.11073
2002,5,30.475,-114.75,375.298854,1820.800167,127.2991173,519.3938504,30,350,102,3,0,163,101,182,264,6983.644274,11145.70796,18248.12426
2002,6,30.475,-114.75,374.5334531,1832.08173,114.3956567,523.265904,0,338,119,0,38,185,119,211,304,7363.200365,11446.51764,18586.34254
2002,7,30.475,-114.75,372.966185,1805.86598,105.7591467,541.9129253,110,425,157,11,0,166,159,242,325,5830.85799,11238.67606,18311.87903
2002,8,30.475,-114.75,369.6050767,1801.075151,106.5355951,522.6647305,235,400,167,30,0,147,170,243,317,6732.804146,10506.35616,17555.62548
2002,9,30.475,-114.75,371.4419101,1823.874709,113.992827,515.0729594,198,363,167,87,0,164,155,237,319,5582.919669,9271.383293,16617.42643
2002,10,30.475,-114.75,373.5490131,1837.509781,134.4088385,504.7854445,130,317,134,35,0,163,99,181,263,4269.475569,7685.85745,15646.67436
2002,11,30.475,-114.75,374.5061563,1839.686238,134.8267312,509.5515271,171,323,111,40,0,169,81,166,250,4020.333854,6209.979725,14785.56968
2002,12,30.475,-114.75,376.9127835,1861.303863,141.5015393,498.5614409,381,343,99,230,449,133,63,130,197,3584.960894,5481.582479,14359.76628
1990,1,30.475,-112.25,356.5000221,1766.376414,126.1977637,532.5919414,267,361,76,159,904,178,45,134,223,3408.638096,5951.275276,14514.60711
1990,2,30.475,-112.25,356.5724973,1758.014711,145.4767687,535.3932677,313,394,68,183,1061,182,38,129,220,4333.164125,7249.262326,15357.11802
1990,3,30.475,-112.25,357.1427488,1757.668099,140.2486967,540.3613909,133,393,74,31,261,192,65,161,257,4802.497408,8875.863796,16356.48124
1990,4,30.475,-112.25,357.7700998,1754.78171,127.1124938,541.0251635,148,369,76,21,50,200,96,196,296,5897.488734,10304.40237,17323.3655
1990,5,30.475,-112.25,358.0413741,1761.90654,118.9339074,549.5277703,60,324,86,6,41,207,120,223,327,6907.404164,11190.10366,18091.67895
1990,6,30.475,-112.25,356.4434809,1747.735505,104.5784562,546.5411727,180,266,120,18,0,210,169,274,379,7693.054588,11517.56539,18452.42062
1990,7,30.475,-112.25,352.8936191,1740.482802,102.8966441,541.7650026,628,513,178,768,0,152,212,288,364,6687.549679,11335.15365,18209.40848
1990,8,30.475,-112.25,350.4251454,1739.519133,89.08561422,532.988612,707,415,181,840,0,146,201,274,347,6423.527239,10627.56983,17478.81765
1990,9,30.475,-112.25,350.8208542,1760.846032,93.10310559,539.9912961,241,371,169,512,0,160,194,274,354,5570.245671,9424.635623,16553.04367
1990,10,30.475,-112.25,353.4014443,1775.246236,163.6313863,531.4041518,273,230,119,122,0,196,132,230,328,5136.311426,7839.2706,15579.17137
1990,11,30.475,-112.25,354.1568012,1770.359317,102.5234682,535.5703112,210,331,93,84,81,183,87,179,271,3772.896077,6328.887449,14683.8095
1990,12,30.475,-112.25,355.8581097,1775.652055,133.7557301,524.9991062,340,478,72,183,855,174,51,138,225,3066.923392,5563.091035,14222.29422
1991,1,30.475,-112.25,356.9216376,1772.268429,138.2794601,542.5265603,427,472,80,183,604,160,55,135,215,3402.983726,5903.497454,14677.33175
1991,2,30.475,-112.25,357.8752955,1770.846717,127.9314499,541.3322659,283,419,85,77,64,183,76,167,259,4045.760022,7215.7181,15519.60421
1991,3,30.475,-112.25,358.9457191,1786.57041,167.7711767,544.1719134,457,485,69,204,649,168,56,140,224,5328.340911,8842.44985,16510.23313
1991,4,30.475,-112.25,360.1039346,1774.975316,170.3401694,554.495343,40,326,74,4,237,220,77,187,297,6686.494865,10266.65516,17474.22134
1991,5,30.475,-112.25,360.0178445,1783.682969,155.9644325,552.1222275,40,299,80,4,90,209,109,213,318,7451.034446,11137.35072,18239.59427
1991,6,30.475,-112.25,358.4380086,1767.699972,119.4406442,550.6086017,390,277,102,60,54,208,140,244,348,7311.355174,11445.95879,18583.33461
1991,7,30.475,-112.25,355.2421613,1751.721915,95.76964546,560.6411477,291,417,174,155,0,166,210,293,376,6256.46804,11244.53621,18313.9845
1991,8,30.475,-112.25,351.9841009,1728.967087,83.79733787,552.815785,464,405,182,240,0,153,211,287,364,6004.671814,10519.5267,17564.4375
1991,9,30.475,-112.25,351.1678994,1773.708927,103.5925895,531.328895,304,406,169,300,0,158,192,271,350,5296.586594,9289.646485,16631.07271
1991,10,30.475,-112.25,353.7874791,1769.996306,117.1541543,528.516377,160,302,123,119,0,189,143,237,332,4657.276553,7705.90735,15659.89517
1991,11,30.475,-112.25,355.3213081,1796.775685,120.764847,550.3969334,143,333,89,56,252,184,72,164,256,3733.945614,6224.05479,14794.05618
1991,12,30.475,-112.25,357.8454588,1788.73666,136.2723065,530.2732063,528,584,82,426,345,154,63,140,217,2490.998842,5483.57462,14359.28219
1992,1,30.475,-112.25,359.4278132,1807.219927,139.8427917,546.1412844,451,518,81,243,638,156,56,134,212,2791.139361,5895.711927,14669.43069
1992,2,30.475,-112.25,359.3562404,1797.273561,160.1849195,538.0808721,540,525,82,245,23,152,80,156,232,3800.210909,7229.760573,15529.39914
1992,3,30.475,-112.25,360.0658758,1796.856827,161.8460864,540.9373573,593,483,76,186,269,162,81,162,243,4777.347896,8882.22862,16532.31144
1992,4,30.475,-112.25,359.9854267,1787.929271,157.6551643,542.0714489,191,320,83,39,0,211,103,208,314,6055.615452,10294.45911,17491.6872
1992,5,30.475,-112.25,360.3919251,1788.397756,166.0520791,540.9804588,100,422,94,82,0,191,144,240,336,6014.65534,11150.63008,18254.16639
1992,6,30.475,-112.25,357.3901446,1770.560576,115.3712358,529.1810899,180,228,120,18,0,194,173,270,367,7419.663212,11446.77379,18581.5964
1992,7,30.475,-112.25,356.5801915,1766.14438,109.2792885,546.1835365,406,345,169,225,0,163,209,291,373,6801.198794,11233.41101,18299.40273
